x y1 y2 y3
-10 -101 -121 -131
-9.95 -100.0025 -119.8 -129.7033
-9.9 -99.01 -118.61 -128.413
-9.85 -98.0225 -117.43 -127.1293
-9.8 -97.04 -116.25 -125.852
-9.75 -96.0625 -115.08 -124.5813
-9.7 -95.09 -113.91 -123.317
-9.65 -94.1225 -112.75 -122.0593
-9.6 -93.16 -111.59 -120.808
-9.55 -92.2025 -110.44 -119.5633
-9.5 -91.25 -109.3 -118.325
-9.45 -90.3025 -108.16 -117.0933
-9.4 -89.36 -107.03 -115.868
-9.35 -88.4225 -105.91 -114.6493
-9.3 -87.49 -104.79 -113.437
-9.25 -86.5625 -103.68 -112.2313
-9.2 -85.64 -102.57 -111.032
-9.15 -84.7225 -101.47 -109.8393
-9.1 -83.81 -100.37 -108.653
-9.05 -82.9025 -99.283 -107.4733
-9 -82 -98.2 -106.3
-8.95 -81.1025 -97.123 -105.1333
-8.9 -80.21 -96.052 -103.973
-8.85 -79.3225 -94.987 -102.8193
-8.8 -78.44 -93.928 -101.672
-8.75 -77.5625 -92.875 -100.5313
-8.7 -76.69 -91.828 -99.397
-8.65 -75.8225 -90.787 -98.26925
-8.6 -74.96 -89.752 -97.148
-8.55 -74.1025 -88.723 -96.03325
-8.5 -73.25 -87.7 -94.925
-8.45 -72.4025 -86.683 -93.82325
-8.4 -71.56 -85.672 -92.728
-8.35 -70.7225 -84.667 -91.63925
-8.3 -69.89 -83.668 -90.557
-8.25 -69.0625 -82.675 -89.48125
-8.2 -68.24 -81.688 -88.412
-8.15 -67.4225 -80.707 -87.34925
-8.1 -66.61 -79.732 -86.293
-8.05 -65.8025 -78.763 -85.24325
-8 -65 -77.8 -84.2
-7.95 -64.2025 -76.843 -83.16325
-7.9 -63.41 -75.892 -82.133
-7.85 -62.6225 -74.947 -81.10925
-7.8 -61.84 -74.008 -80.092
-7.75 -61.0625 -73.075 -79.08125
-7.7 -60.29 -72.148 -78.077
-7.65 -59.5225 -71.227 -77.07925
-7.6 -58.76 -70.312 -76.088
-7.55 -58.0025 -69.403 -75.10325
-7.5 -57.25 -68.5 -74.125
-7.45 -56.5025 -67.603 -73.15325
-7.4 -55.76 -66.712 -72.188
-7.35 -55.0225 -65.827 -71.22925
-7.3 -54.29 -64.948 -70.277
-7.25 -53.5625 -64.075 -69.33125
-7.2 -52.84 -63.208 -68.392
-7.15 -52.1225 -62.347 -67.45925
-7.1 -51.41 -61.492 -66.533
-7.05 -50.7025 -60.643 -65.61325
-7 -50 -59.8 -64.7
-6.95 -49.3025 -58.963 -63.79325
-6.9 -48.61 -58.132 -62.893
-6.85 -47.9225 -57.307 -61.99925
-6.8 -47.24 -56.488 -61.112
-6.75 -46.5625 -55.675 -60.23125
-6.7 -45.89 -54.868 -59.357
-6.65 -45.2225 -54.067 -58.48925
-6.6 -44.56 -53.272 -57.628
-6.55 -43.9025 -52.483 -56.77325
-6.5 -43.25 -51.7 -55.925
-6.45 -42.6025 -50.923 -55.08325
-6.4 -41.96 -50.152 -54.248
-6.35 -41.3225 -49.387 -53.41925
-6.3 -40.69 -48.628 -52.597
-6.25 -40.0625 -47.875 -51.78125
-6.2 -39.44 -47.128 -50.972
-6.15 -38.8225 -46.387 -50.16925
-6.1 -38.21 -45.652 -49.373
-6.05 -37.6025 -44.923 -48.58325
-6 -37 -44.2 -47.8
-5.95 -36.4025 -43.483 -47.02325
-5.9 -35.81 -42.772 -46.253
-5.85 -35.2225 -42.067 -45.48925
-5.8 -34.64 -41.368 -44.732
-5.75 -34.0625 -40.675 -43.98125
-5.7 -33.49 -39.988 -43.237
-5.65 -32.9225 -39.307 -42.49925
-5.6 -32.36 -38.632 -41.768
-5.55 -31.8025 -37.963 -41.04325
-5.5 -31.25 -37.3 -40.325
-5.45 -30.7025 -36.643 -39.61325
-5.4 -30.16 -35.992 -38.908
-5.35 -29.6225 -35.347 -38.20925
-5.3 -29.09 -34.708 -37.517
-5.25 -28.5625 -34.075 -36.83125
-5.2 -28.04 -33.448 -36.152
-5.15 -27.5225 -32.827 -35.47925
-5.1 -27.01 -32.212 -34.813
-5.05 -26.5025 -31.603 -34.15325
-5 -26 -31 -33.5
