Район или город;всего 2021;городское население 2021;сельское население 2021;всего 2020;городское население 2020;сельское население 2020
Алейский муниципальный район;13330;0;13330;13505;0;13505
Алтайский муниципальный район;26153;0;26153;26046;0;26046
Баевский муниципальный район;8547;0;8547;8692;0;8692
Бийский муниципальный район;30207;0;30207;30519;0;30519
Благовещенский муниципальный район;27371;17463;9908;27562;17558;10004
Бурлинский муниципальный район;9623;0;9623;9753;0;9753
Быстроистокский муниципальный район;8382;0;8382;8444;0;8444
Волчихинский муниципальный район;16699;0;16699;16776;0;16776
Егорьевский муниципальный район;12279;0;12279;12441;0;12441
Ельцовский муниципальный район;5924;0;5924;5937;0;5937
Завьяловский муниципальный район;17001;0;17001;17147;0;17147
Залесовский муниципальный район;13322;0;13322;13471;0;13471
Заринский муниципальный район;16245;0;16245;16441;0;16441
Змеиногорский муниципальный район;18370;10187;8183;18504;10209;8295
Калманский муниципальный район;12530;0;12530;12586;0;12586
Каменский муниципальный район;49962;40294;9668;50220;40387;9833
Ключевский муниципальный район;15659;0;15659;15793;0;15793
Косихинский муниципальный район;15177;0;15177;15305;0;15305
Красногорский муниципальный район;14587;0;14587;14713;0;14713
Краснощёковский муниципальный район;15808;0;15808;15972;0;15972
Крутихинский муниципальный район;10547;0;10547;10583;0;10583
Кулундинский муниципальный район;21674;0;21674;21767;0;21767
Курьинский муниципальный район;8573;0;8573;8673;0;8673
Кытмановский муниципальный район;11685;0;11685;11771;0;11771
Локтевский муниципальный район;23672;12115;11557;23977;12223;23977
Мамонтовский муниципальный район;21528;0;21528;21637;0;21637
Михайловский муниципальный район;18938;2928;16010;19076;2940;19076
Новичихинский муниципальный район;8694;0;8694;8780;0;8780
Зональный муниципальный район;19731;0;19731;19845;0;19845
Павловский муниципальный район;38252;0;38252;38610;0;38610
Панкрушихинский муниципальный район;11253;0;11253;11390;0;11390
Первомайский муниципальный район;54590;0;54590;54730;0;54730
Петропавловский муниципальный район;11202;0;11202;11316;0;11316
Поспелихинский муниципальный район;22313;0;22313;22423;0;22423
Ребрихинский муниципальный район;22075;0;22075;22228;0;22228
Родинский муниципальный район;17475;0;17475;17615;0;17615
Романовский муниципальный район;11464;0;11464;11489;0;11489
Рубцовский муниципальный район;21661;0;21661;21945;0;21945
Смоленский муниципальный район;20479;0;20479;20679;0;20679
Суетский муниципальный район;4100;0;4100;4142;0;4142
Советский муниципальный район;14841;0;14841;14921;0;14921
Солонешенский муниципальный район;8971;0;8971;9044;0;9044
Солтонский муниципальный район;6868;0;6868;6936;0;6936
Шелаболихинский муниципальный район;12468;0;12468;12526;0;12526
Табунский муниципальный район;8929;0;8929;8981;0;8981
Тальменский муниципальный район;45591;18854;26737;45793;18893;45793
Тогульский муниципальный район;7296;0;7296;7344;0;7344
Топчихинский муниципальный район;21491;0;21491;21593;0;21593
Третьяковский муниципальный район;11822;0;11822;11932;0;11932
Троицкий муниципальный район;21923;0;21923;22046;0;22046
Тюменцевский муниципальный район;13118;0;13118;13286;0;13286
Угловский муниципальный район;11425;0;11425;11568;0;11568
Усть-Калманский муниципальный район;13580;0;13580;13639;0;13639
Усть-Пристанский муниципальный район;10484;0;10484;10584;0;10584
Хабарский муниципальный район;13825;0;13825;13933;0;13933
Целинный муниципальный район;14431;0;14431;14525;0;14525
Чарышский муниципальный район;10914;0;10914;10945;0;10945
Шипуновский муниципальный район;30047;0;30047;30311;0;30311
Немецкий Национальный муниципальный район;15647;0;15647;15747;0;15747
Городской округ город Барнаул;695540;650633;44907;696263;651359;696263
Городской округ город Алейск;28434;28434;0;28704;28704;28704
Городской округ город Белокуриха;15128;15128;0;15160;15160;15160
Городской округ город Бийск;208077;198433;9644;208643;198949;208643
Городской округ город Заринск;45405;45405;0;45645;45645;45645
Городской округ город Новоалтайск;74586;74586;0;74571;74571;74571
Городской округ город Рубцовск;139565;139565;0;140575;140575;140575
Городской округ город Славгород;38654;28757;9897;38833;28903;38833
Городской округ город Яровое;17939;17939;0;17996;17996;17996
Городской округ поселок Сибирский (ЗАТО);12272;12272;0;12207;12207;12207
